brand,sentiment,total_words,words,own_ratio,total_ratio,odds.ratio
Teachers,negative,1109,83.0,0.07567567567567568,0.06256585673196113,0.27445408300147583
Teachers,positive,1109,133.0,0.12072072072072072,0.13041148269918745,-0.11139757999993409
Teachers,sadness,1109,19.0,0.018018018018018018,0.02120217312007962,-0.2347718181981864
Teachers,surprise,1109,40.0,0.036936936936936934,0.036466587885671795,0.018489017597422587
Teachers,trust,1109,54.0,0.04954954954954955,0.06192397008627474,-0.32162602683919056
Teaninich,anger,719,15.0,0.022222222222222223,0.01805587484422074,0.2995347699271573
Teaninich,anticipation,719,33.0,0.04722222222222222,0.054584188292094146,-0.20901716340526277
Teaninich,disgust,719,29.0,0.041666666666666664,0.03530989560699559,0.2388211332489581
Teaninich,fear,719,15.0,0.022222222222222223,0.01780227637249029,0.31994136341490653
Teaninich,joy,719,23.0,0.03333333333333333,0.05542922526541431,-0.733681249043097
Teaninich,negative,719,53.0,0.075,0.06256585673196113,0.26151502729397763
Teaninich,positive,719,82.0,0.11527777777777778,0.13041148269918745,-0.17795647420298813
Teaninich,sadness,719,15.0,0.022222222222222223,0.02120217312007962,0.06779095182224497
Teaninich,surprise,719,23.0,0.03333333333333333,0.036466587885671795,-0.12960962139171117
Teaninich,trust,719,40.0,0.05694444444444444,0.06192397008627474,-0.12094287083797295
Teeling,anger,3524,58.0,0.01673758865248227,0.01805587484422074,-0.10937662655484501
Teeling,anticipation,3524,176.0,0.05021276595744681,0.054584188292094146,-0.12042890041644824
Teeling,disgust,3524,133.0,0.03801418439716312,0.03530989560699559,0.10646528225436853
Teeling,fear,3524,51.0,0.01475177304964539,0.01780227637249029,-0.271173364287845
Teeling,joy,3524,181.0,0.05163120567375887,0.05542922526541431,-0.10240355540940035
Teeling,negative,3524,177.0,0.05049645390070922,0.06256585673196113,-0.3091934897469367
Teeling,positive,3524,431.0,0.1225531914893617,0.13041148269918745,-0.08966284923028811
Teeling,sadness,3524,54.0,0.015602836879432624,0.02120217312007962,-0.4424037804969392
Teeling,surprise,3524,110.0,0.03148936170212766,0.036466587885671795,-0.2117107016066049
Teeling,trust,3524,183.0,0.05219858156028369,0.06192397008627474,-0.24648736524288734
Teerenpeli,anger,545,6.0,0.01282051282051282,0.01805587484422074,-0.49401435260541643
Teerenpeli,anticipation,545,19.0,0.03663003663003663,0.054584188292094146,-0.5754559543584175
Teerenpeli,disgust,545,8.0,0.016483516483516484,0.03530989560699559,-1.0990485055074257
Teerenpeli,fear,545,6.0,0.01282051282051282,0.01780227637249029,-0.4736077591176674
Teerenpeli,joy,545,18.0,0.0347985347985348,0.05542922526541431,-0.6716202809108455
Teerenpeli,negative,545,30.0,0.056776556776556776,0.06256585673196113,-0.1400802090727935
Teerenpeli,positive,545,56.0,0.1043956043956044,0.13041148269918745,-0.32100993597534916
Teerenpeli,sadness,545,7.0,0.014652014652014652,0.02120217312007962,-0.533113092767933
Teerenpeli,surprise,545,17.0,0.03296703296703297,0.036466587885671795,-0.14555116526073267
Teerenpeli,trust,545,20.0,0.038461538461538464,0.06192397008627474,-0.687081497267474
Templeton,anger,327,2.0,0.009146341463414634,0.01805587484422074,-0.9812016376400956
Templeton,anticipation,327,13.0,0.042682926829268296,0.054584188292094146,-0.35482399088640687
Templeton,disgust,327,7.0,0.024390243902439025,0.03530989560699559,-0.5337683706479693
Templeton,fear,327,2.0,0.009146341463414634,0.01780227637249029,-0.9607950441523465
